,File_name,QR_name,Label,Location_X,Location_Y,Area,Perimeter,Major_axis,Minor_axis,Orientaion,Eccentricity,Solidity,Median_R,Median_G,Median_B,std_R,std_G,std_B,Mean_R,Mean_G,Mean_B
3,IMG_0004.JPG,b'advanced_22_W1130-220_2',4,1148,901,35006,887.9625535217634,248,184,-0.005392583179291793,0.6713181910072535,0.9016587677725119,46.0,131.0,138.0,11.080505898445765,13.821006234960034,15.32460982948194,46.978803028138834,129.7931724039423,135.92981002713898
4,IMG_0004.JPG,b'advanced_22_W1130-220_2',5,1223,1535,38505,923.6194077712559,262,195,-1.113635698064298,0.6688871472778456,0.9088441475676824,49.0,137.0,145.0,12.455608175313198,15.596457966628995,16.47271613858747,50.22041865780179,134.20551111572823,141.54700810305422
5,IMG_0004.JPG,b'advanced_22_W1130-220_2',6,1648,2996,59465,1264.4133470105958,345,224,-1.1719545134628402,0.7601874229508435,0.906022884829278,54.0,137.0,140.0,9.379097635665412,14.328778256173342,15.238772082994481,53.24323960715727,134.57370846226289,137.7417597201668
6,IMG_0004.JPG,b'advanced_22_W1130-220_2',7,1865,2118,44697,1036.874241767195,276,211,-1.0805560469050997,0.6427377235913586,0.91534066474166,50.0,129.0,132.0,9.832310920585911,12.44838700120121,13.648474371684333,50.418650438517986,128.41871755861823,130.41368355110077
7,IMG_0004.JPG,b'advanced_22_W1130-220_2',8,1893,1576,49366,1110.8153672641492,277,242,-0.0883619675849927,0.4918390916817257,0.8967647005395193,58.0,139.0,143.0,12.907058227609362,15.624935125397485,16.92056838712026,57.612579762989974,137.5550086093386,140.75861440291703
8,IMG_0004.JPG,b'advanced_22_W1130-220_2',9,1921,2643,40476,1141.0407640085652,282,194,-0.511873899258829,0.724790297809946,0.8170532307878641,53.0,134.0,140.0,14.468697342451716,18.13827765572087,20.211469458463583,55.30591723285979,131.89660284126003,136.42021000617666
9,IMG_0004.JPG,b'advanced_22_W1130-220_2',10,2165,1083,42899,944.9919907732864,282,196,-0.934650847158341,0.7202273797026342,0.9398400701062548,57.0,129.0,134.0,7.201758411644445,13.877288301588798,16.213968106401982,56.18613921394937,126.17080050351998,132.42384260338477
0,IMG_0005.JPG,b'advanced_22_W1130-220_2',1,571,1740,38082,862.9919907732864,234,210,0.6173703538951457,0.438133320939228,0.9295774647887324,59.0,147.0,147.0,16.43354689556025,18.122486625895426,16.9713002695858,58.8086447309682,144.83067671542238,145.20309340616055
1,IMG_0005.JPG,b'advanced_22_W1130-220_2',2,652,2992,48016,1105.3595231414336,302,207,0.9816966033127796,0.7294564288674956,0.9229231538077115,60.0,147.0,148.0,14.299759203340436,17.63482352114589,16.735129330079754,60.73953972716859,144.98962824117464,145.725898156826
2,IMG_0005.JPG,b'advanced_22_W1130-220_2',3,841,2393,56186,1282.337228564847,323,228,0.25610098818863825,0.7098144315279656,0.8927623738778104,59.0,141.0,140.0,13.027323544569056,14.014711071544339,13.150445511280047,58.75139272047699,140.20786686838125,138.37278633087124
3,IMG_0005.JPG,b'advanced_22_W1130-220_2',4,1148,899,35068,900.1046891454945,250,183,0.0009269282748758502,0.6789272751492226,0.8885848219941721,45.0,132.0,139.0,11.44709968447918,14.792076143802786,15.707300240101226,47.003336470185644,129.97935380842387,136.58867311147233
4,IMG_0005.JPG,b'advanced_22_W1130-220_2',5,1142,1968,43467,954.0630585851519,272,208,-0.7428618498685136,0.6441294142962339,0.9240630115436127,51.0,140.0,143.0,13.3633551042954,15.613540786979936,15.271793307458909,51.27561772419823,138.6901486219114,141.5035890121014
5,IMG_0005.JPG,b'advanced_22_W1130-220_2',6,1224,1534,38543,932.3473298326138,262,195,-1.1115531113674717,0.669388680719199,0.9056581606278491,49.0,136.0,145.0,12.58795510232911,16.32748733718907,16.591544468546886,49.997742722225105,134.04693581028488,141.57638420424473
6,IMG_0005.JPG,b'advanced_22_W1130-220_2',7,1649,2996,59603,1246.8569978244918,345,224,-1.1662575501267674,0.7614718971947019,0.9097472373160754,54.0,138.0,141.0,9.59636958941053,14.758900233831328,15.273330061415182,53.38517163853562,135.0323143518674,138.28445354182745
7,IMG_0005.JPG,b'advanced_22_W1130-220_2',8,1856,1780,48111,1163.8275605729689,274,238,-0.9913887180539868,0.49045153933961405,0.8753024652051306,59.0,141.0,144.0,12.927786834925076,15.42362914889632,15.350175761168684,58.01623363126169,139.44096861359384,141.55146539181044
8,IMG_0005.JPG,b'advanced_22_W1130-220_2',9,2165,1081,43092,947.477272147525,283,196,-0.9255894872279978,0.7199277043613117,0.9390281106994988,56.0,130.0,135.0,7.313151208805738,14.221995719321518,16.160653629951323,56.03773409760739,126.47513401870461,132.99083335267224
9,IMG_0005.JPG,b'advanced_22_W1130-220_2',10,2240,2484,41973,1220.9818895055196,294,195,-0.5961654498814735,0.7472321110762814,0.793155577391863,54.0,132.0,138.0,14.747425704835353,18.328664478983963,20.250462350625185,56.28473744401029,129.31790241113123,134.19856094539216
0,IMG_0006.JPG,b'advanced_22_W1301-004_2',1,638,1636,49709,1121.6021638285529,334,196,-0.07144676245177536,0.8097338177968249,0.8956899347724242,48.0,142.0,141.0,14.219141415993318,19.276416993559845,19.773898711538763,50.18803814275368,139.1875150881146,137.9063933370886
1,IMG_0006.JPG,b'advanced_22_W1301-004_2',2,732,2223,65462,1374.1189744953672,434,197,1.2457715755425367,0.8916298353222883,0.9046710889994473,59.0,147.0,143.0,16.235725654233562,18.777160564676375,18.351528398797118,61.290065840729596,145.6821007928385,140.8981225462489
2,IMG_0006.JPG,b'advanced_22_W1301-004_2',3,861,3016,63019,1219.9940828143392,332,245,-0.43153982344265535,0.6753059925062667,0.9239374257774129,54.0,148.0,150.0,17.497644161046797,18.101577084347305,16.197362570512684,55.82712875686312,146.3758291281856,147.6162207623219
3,IMG_0006.JPG,b'advanced_22_W1301-004_2',4,1163,1928,62584,1220.3128419472077,369,224,-0.31005373917490003,0.7936103973139341,0.9129686360320933,51.0,130.0,133.0,10.154900385753308,16.030488383373513,16.56422422503543,52.07422143393573,127.24305322531679,128.78623587875302
4,IMG_0006.JPG,b'advanced_22_W1301-004_2',5,1761,1152,69378,1329.9940828143394,379,236,-0.5853822542627004,0.7823187571769056,0.9098873427848234,48.0,126.0,124.0,11.17204470101153,17.60554488176769,18.928283950249245,49.61100941234127,124.62311717139686,120.51026997419895
5,IMG_0006.JPG,b'advanced_22_W1301-004_2',6,1739,2559,49990,1094.0702012600882,327,199,-1.1438829452638863,0.793220109461123,0.9285780625986811,50.0,134.0,132.0,17.015980558699237,20.77459432156984,21.248141364280503,53.17807917741903,133.25233551381305,128.54648022564965
6,IMG_0006.JPG,b'advanced_22_W1301-004_2',7,1795,1883,58916,1323.6509370638319,350,220,-1.244989582583015,0.7771268023525516,0.8744230226932039,52.0,138.0,135.0,13.58616983222731,16.337564528014912,16.586560560776803,54.474683866587455,135.50544004073666,132.59679198845794
7,IMG_0006.JPG,b'advanced_22_W1301-004_2',8,1995,3087,44870,965.8620484583752,281,207,0.8066602179912477,0.6755016364391739,0.9178309161944893,51.0,133.0,132.0,17.142584528894016,14.632054817600968,14.891164041906395,53.688292585081015,132.8276092625198,130.76678775992335
8,IMG_0006.JPG,b'advanced_22_W1301-004_2',9,2319,1511,71523,1454.8468965567251,409,230,-1.0460463696851419,0.8257508438260812,0.8856021396201184,49.0,126.0,125.0,11.969017459839087,14.88433060199425,16.60485147706695,50.963032353681385,124.69518469841448,122.11086099382008
9,IMG_0006.JPG,b'advanced_22_W1301-004_2',10,2426,2566,55077,1139.5849198858496,334,213,-0.4561822752693069,0.7720989515056396,0.9088913825538797,51.0,132.0,136.0,11.977222468071016,13.40776766406086,14.772358821324222,52.43505338078292,130.57968988307067,133.39004284988016
