"genotype","rep","image","avg_cone_weight_adj","SE","df","lower.CL","upper.CL"
"W1425-006","1","16",0.265301064565149,0.0312638260691623,152.908295337152,0.207131127351446,0.330660741903101
"2014001-005","2","16",0.234008938919704,0.0293622176288092,152.908296615502,0.179595818887577,0.295611799075121
"2014005-019","2","16",0.174683193376336,0.0253686987274547,152.908295494066,0.128159668323848,0.228396458552954
"2014005-024","2","16",0.143218151740285,0.0229705641769486,152.908295395508,0.101432380729753,0.192193662875023
"2014006-046","2","16",0.102994320594117,0.0194795656173874,152.90829534833,0.0681053654995714,0.145073015812904
"2014007-001","2","16",0.168572594178063,0.0249210372722114,152.908295363044,0.122933468988777,0.221401459491579
"2014008-016","2","16",0.156428781324626,0.0240066168189317,152.90829539206,0.112596184963346,0.207451117810113
"2014009-010","2","16",0.105648439632836,0.0197289591313898,152.908295364108,0.070266782771933,0.148219836617969
"2014009-012","2","16",0.206458169658636,0.02757964463665,152.908295304322,0.155566700398356,0.26453937904319
"2014009-034","2","16",0.132281241463999,0.0220760699072795,152.908295370142,0.0922626331178047,0.179489589934418
"2014009-041","2","16",0.142770491992412,0.0327296837931535,141.320774912435,0.0853982202364622,0.214804362860215
"2014009-046","2","16",0.150582028092682,0.0235537033311477,152.908295311248,0.107644207508956,0.200709588800677
"2014010-010","2","16",0.110153881173507,0.0201452439772625,152.908295269175,0.0739498120708868,0.153547690400427
"W1406-001","2","16",0.0986922550884566,0.0190683961488807,152.908295394604,0.0646156062972443,0.139958644003875
"W1411-017","2","16",0.120832776147776,0.0210991522690587,152.908295321357,0.0827441660530022,0.16611112636681
"W1425-006","2","16",0.268008566494658,0.0314229509503539,152.908295315718,0.209524262203817,0.333682610909764
"2014001-005","1","17",0.341564117773672,0.0354738846824636,152.908296896299,0.275076789779476,0.415241185890947
"2014005-019","1","17",0.120326039379931,0.0210548639989256,152.908295476871,0.0823249251812776,0.165516893702728
"2014005-024","1","17",0.157100132378621,0.0240580766974786,152.908295427666,0.113165871893715,0.208224132987709
"2014006-046","1","17",0.140040968704105,0.0227143431627878,152.90829531198,0.0987613878674645,0.188510289665013
"2014007-001","1","17",0.15917831299724,0.024216678627568,152.908295400686,0.114930718577273,0.210615647541408
"2014008-016","1","17",0.159770184885749,0.0242616592283091,152.908295379218,0.115433726801713,0.211296383094002
"2014009-010","1","17",0.0932268322422579,0.018532887667213,152.908295404615,0.0602081338788656,0.133435270729849
"2014009-012","1","17",0.213027846518426,0.0280150123439592,152.908295361971,0.16127626492026,0.271969168240822
"2014009-034","1","17",0.133747269872584,0.0221980636553152,152.908295361159,0.0934876507070445,0.181196629162355
"2014009-041","1","17",0.113210759278178,0.0286169866592997,166.340149767578,0.0637606205929803,0.176759263445516
"2014009-046","1","17",0.141285388401287,0.0228150410501967,152.908295363514,0.0998068688425615,0.189953648084243
"2014010-010","1","17",0.107729590902764,0.0199223302427876,152.908295247977,0.0719659101204168,0.150683011809427
"W1406-001","1","17",0.131124456961032,0.0219793315835703,152.908295391769,0.0912969648239715,0.178141689222301
"W1411-017","1","17",0.160718597299752,0.0243335625445168,152.908295374856,0.116240087041471,0.212386847682254
"W1425-006","1","17",0.242299741703453,0.0298778336672916,152.908295328932,0.186867970746089,0.304921252785073
"2014001-005","2","17",0.34463529262946,0.0356330095636552,152.908296562786,0.277833597557114,0.418626727825136
"2014005-019","2","17",0.122151671613225,0.0212139888801173,152.90829545529,0.0838361903374583,0.167656893013151
"2014005-024","2","17",0.159185187876682,0.0242172015786703,152.908295406114,0.114936560314655,0.210623555562907
"2014006-046","2","17",0.14200994992587,0.0228734680439795,152.908295290399,0.10041600201211,0.190793637963914
"2014007-001","2","17",0.161277068833782,0.0243758035087597,152.908295379114,0.116715107336694,0.213028770455088
"2014008-016","2","17",0.161872826232732,0.0244207841095007,152.90829535767,0.117222001071574,0.213713391518124
"2014009-010","2","17",0.0948346113298347,0.0186920125484047,152.90829538306,0.0615015458893335,0.135357416894551
"2014009-012","2","17",0.215454709696101,0.0281741372251509,152.908295340455,0.163388761020805,0.274710398495644
