"genotype","rep","image","openness","SE","df","asymp.LCL","asymp.UCL"
"W1425-006","2","14",3.62235312028473,0.109235453100859,Inf,3.41141910130849,3.83961420913368
"2014001-005","1","15",3.90851170355839,0.113468138596669,Inf,3.68928177345248,4.13406870353702
"2014005-019","1","15",3.28547733634212,0.104032122682366,Inf,3.08474165758578,3.49254008497116
"2014005-024","1","15",4.02352408411936,0.115125498771116,Inf,3.80104578776212,4.25232945034931
"2014006-046","1","15",3.72209461184812,0.110729139833217,Inf,3.50823302067227,3.94228327289668
"2014007-001","1","15",3.26427719232989,0.103695936319842,Inf,3.0642004267362,3.4706810277963
"2014008-016","1","15",3.95190545074698,0.11409628262564,Inf,3.73144438096718,4.17869359039949
"2014009-010","1","15",3.67424269062989,0.110015060405585,Inf,3.4617806694143,3.89303178171819
"2014009-012","1","15",3.4322205438013,0.105120648488096,Inf,3.2292798415162,3.64134521165253
"2014009-034","1","15",3.66686899164697,0.10990461242801,Inf,3.45462344448959,3.88544160867706
"2014009-041","1","15",3.52226622952118,0.105382747690214,Inf,3.31874781977291,3.73184059990229
"2014009-046","1","15",3.47556614011738,0.10699931586493,Inf,3.26901486958805,3.68844448051943
"2014010-010","1","15",3.33052631474173,0.104742915154861,Inf,3.12839750833883,3.53898219101735
"W1406-001","1","15",3.00359285405627,0.0994692293756177,Inf,2.81180028184646,3.20171249613879
"W1411-017","1","15",3.82777455024525,0.112290081596246,Inf,3.6108535694319,4.05102260093131
"W1425-006","1","15",3.7053603380179,0.110479944240023,Inf,3.49198716122982,3.92506058467869
"2014001-005","2","15",3.97903961029722,0.114487310541648,Inf,3.75781213988509,4.20659415058206
"2014005-019","2","15",3.35016636137927,0.10505129462738,Inf,3.14743314231666,3.55922665031459
"2014005-024","2","15",4.09507754338841,0.116144670716129,Inf,3.87060170672489,4.32588044992464
"2014006-046","2","15",3.79092766242034,0.111748311778231,Inf,3.57506853093821,4.01311386377518
"2014007-001","2","15",3.32875818969749,0.104715108264856,Inf,3.12668388379752,3.53715956547018
"2014008-016","2","15",4.02282204469347,0.115115454570653,Inf,3.80036343460739,4.25160772465226
"2014009-010","2","15",3.7426338783077,0.111034232350599,Inf,3.52817431678583,3.96342050970228
"2014009-012","2","15",3.49833146511902,0.10612179891511,Inf,3.293428169403,3.70941797709944
"2014009-034","2","15",3.73519183557874,0.110923784373024,Inf,3.52094874811509,3.95576199291511
"2014009-041","2","15",3.58923465000127,0.106367380702594,Inf,3.38378568547249,3.80073815608638
