"genotype","rep","image","length","SE","df","asymp.LCL","asymp.UCL"
"2014007-001","1","15",2.91942279696163,0.256602526653596,Inf,2.43815121606016,3.44401463722622
"2014008-016","1","15",2.97571535524476,0.259064630551984,Inf,2.48961813937625,3.50513283047638
"2014009-010","1","15",3.27066490295451,0.271600431875767,Inf,2.75999796797404,3.8246520972981
"2014009-012","1","15",4.09015184458059,0.301826512616905,Inf,3.51997278703841,4.70311097565533
"2014009-034","1","15",3.63502400032098,0.286329485042014,Inf,3.09548865160829,4.21787960839679
"2014009-041","1","15",2.69236378752539,0.243553891371105,Inf,2.23616580826151,3.19087951902541
"2014009-046","1","15",3.36026400957257,0.275295511819696,Inf,2.842354850982,3.92149342752625
"2014010-010","1","15",2.91279165295876,0.256310938940235,Inf,2.43209157347382,3.43681199180683
"W1406-001","1","15",2.99871471905189,0.260063861368608,Inf,2.51065904677056,3.53009065069634
"W1411-017","1","15",3.10145744761784,0.264481527426576,Inf,2.60474330896717,3.64149184563163
"W1425-006","1","15",4.27501133316595,0.310513914405965,Inf,3.68807537391326,4.90526755178175
"2014001-005","2","15",4.15768890421332,0.306223436633912,Inf,3.57916212687035,4.77953594091945
"2014005-019","2","15",2.85426548867523,0.253722869295482,Inf,2.37863793248348,3.3732133042301
"2014005-024","2","15",3.7478949830247,0.29074090473208,Inf,3.19971341059879,4.33939681481372
"2014006-046","2","15",2.71535193175251,0.24747167265325,Inf,2.25197649583982,3.22204762702833
"2014007-001","2","15",2.98584029660737,0.259504993028159,Inf,2.49887998614542,3.51612086643244
"2014008-016","2","15",3.0427665475943,0.261967096926547,Inf,2.55098060216531,3.5778727523864
"2014009-010","2","15",3.34094254153175,0.27450289825033,Inf,2.8245868769908,3.90061846543582
"2014009-012","2","15",4.16869794659764,0.304700743943849,Inf,3.59288408372613,4.78728905211115
"2014009-034","2","15",3.70909258108039,0.289231951416577,Inf,3.16386850280723,4.29763691871668
"2014009-041","2","15",2.75616101226808,0.246407281046888,Inf,2.29436786532544,3.26026665808613
"2014009-046","2","15",3.43149268242661,0.278197978194258,Inf,2.90789479427556,3.99841082994077
"2014010-010","2","15",2.9791341041849,0.259213405314798,Inf,2.49274529513947,3.50884317259345
"W1406-001","2","15",3.06602309196896,0.262966327743171,Inf,2.57227869012715,3.60308775317389
"W1411-017","2","15",3.16990283296992,0.267383993801139,Inf,2.66749996475877,3.7156259605442
"W1425-006","2","15",4.35530446701734,0.313416380780528,Inf,3.76267977820417,4.99124941519362
"2014001-005","1","16",3.85839186591992,0.294995640237176,Inf,3.3018711651403,4.45823282606271
"2014005-019","1","16",2.93269765723796,0.259086603851817,Inf,2.44687882022426,3.46247964507697
"2014005-024","1","16",3.11943711143134,0.265247041242687,Inf,2.62122259327142,3.66097188895437
"2014006-046","1","16",3.16907342399125,0.267349010837079,Inf,2.66673912112973,3.71472798621589
"2014007-001","1","16",2.51935328725884,0.236882081276363,Inf,2.07646297650424,3.00502367227336
"2014008-016","1","16",3.1087711619571,0.264793187887112,Inf,2.61144618002837,3.64941640324894
"2014009-010","1","16",2.52407923306981,0.23859641981581,Inf,2.07809897307218,3.01337975243055
"2014009-012","1","16",4.39472267651564,0.314831492501055,Inf,3.79932441969614,5.03344119269826
"2014009-034","1","16",3.6623993848583,0.287405637131675,Inf,3.12075481680799,4.24736421227173
"2014009-041","1","16",2.75008381301879,0.250890503233067,Inf,2.28032903252228,3.26380173332217
"2014009-046","1","16",3.64392358093673,0.286679779091296,Inf,3.10370166850345,4.22746575273313
"2014010-010","1","16",3.07748290476685,0.263457311361281,Inf,2.58277619271655,3.61550987618028
"W1406-001","1","16",2.45284553889714,0.23694435919992,Inf,2.01042470006535,2.93922952080888
"W1411-017","1","16",3.4220343974065,0.277814312589407,Inf,2.89918848002307,3.98820057415305
"W1425-006","1","16",3.53874876108036,0.282512257841217,Inf,3.00669504020204,4.1141227413218
"2014001-005","2","16",3.93469092904064,0.297898106611697,Inf,3.37248149870062,4.54022061874382
"2014005-019","2","16",2.9992651403456,0.262000490547922,Inf,2.50773350621199,3.5347565570235
"2014005-024","2","16",3.18807952361086,0.268149507617249,Inf,2.68417627589046,3.73530303069437
"2014006-046","2","16",3.23825683803363,0.270251477211641,Inf,2.73023380561162,3.78960012981875
"2014007-001","2","16",2.58107888454057,0.23975845774964,Inf,2.1325495633867,3.07238544774303
"2014008-016","2","16",3.17729676202312,0.267695654261675,Inf,2.67428305053391,3.72363073287545
"2014009-010","2","16",2.58586234724774,0.241498886190373,Inf,2.13419335768963,3.08085159616897
"2014009-012","2","16",4.4761270623084,0.317733958875618,Inf,3.87504007592841,5.1205343080515
"2014009-034","2","16",3.73674494407011,0.290308103506237,Inf,3.18941164645932,4.32739850104402
"2014009-041","2","16",2.81455728461339,0.253804760342668,Inf,2.33908899083781,3.33398536959071
"2014009-046","2","16",3.71808231986671,0.289582245465859,Inf,3.17217167787295,4.30731322122359
"2014010-010","2","16",3.14566467888461,0.266359777735844,Inf,2.64526923727382,3.68938037985851
"W1406-001","2","16",2.51375591119846,0.239859131611665,Inf,2.06562054619154,3.00585106483537
"W1411-017","2","16",3.49391135552224,0.28071677896397,Inf,2.96537670857832,4.06576626182927
"W1425-006","2","16",3.61183486948048,0.28541472421578,Inf,3.07409241904168,4.1928975792824
"2014001-005","1","17",4.09733333266673,0.303992647202958,Inf,3.52317882226553,4.71480810243111
"2014005-019","1","17",2.66936230439994,0.245367022315303,Inf,2.21011190734967,3.17193296081333
"2014005-024","1","17",3.14020570224721,0.266128557415257,Inf,2.64026344413726,3.68346821972027
"2014006-046","1","17",2.78508513139083,0.25062920022684,Inf,2.3155210551537,3.29796946699107
"2014007-001","1","17",2.90229058951037,0.255848501528308,Inf,2.42249687069791,3.42540456768595
"2014008-016","1","17",3.30628766573162,0.273075507442938,Inf,2.79272963576502,3.86316595506133
"2014009-010","1","17",2.9348980925546,0.257281727946349,Inf,2.45229530158109,3.46082114289124
"2014009-012","1","17",4.85754235389194,0.330994463058318,Inf,4.23046525689702,5.52793971024998
"2014009-034","1","17",3.21345232273713,0.269214446568055,Inf,2.70746183302742,3.76276307180996
"2014009-041","1","17",2.81480159392375,0.250378594061771,Inf,2.34545718857106,3.32692324229275
"2014009-046","1","17",3.50300171815655,0.283159702581292,Inf,2.9700004706086,4.07996610847341
"2014010-010","1","17",2.94667838831334,0.257797558390575,Inf,2.46306458824701,3.47361244774278
"W1406-001","1","17",3.20489268262574,0.268855655596766,Inf,2.69960541029774,3.75350021431687
"W1411-017","1","17",3.23989845361531,0.27031996974421,Inf,2.73174117829626,3.79137598829748
"W1425-006","1","17",4.47119790790333,0.317558964832067,Inf,3.87045390354622,5.11526217162357
