"genotype","rep","image","perimeter","SE","df","asymp.LCL","asymp.UCL"
"W1406-001","1","12",8.74275500719566,0.824905273288832,Inf,7.20071777246686,10.4342870250734
"W1411-017","1","12",10.041870047612,0.884071161384606,Inf,8.38386980310211,11.8493650752708
"W1425-006","1","12",17.7141780070327,1.17419554379289,Inf,15.4875444219657,20.0903063752487
"2014001-005","2","12",15.9914762241886,1.12420599616438,Inf,13.8639725502957,18.2707790776681
"2014005-019","2","12",9.16887493708253,0.84476896434015,Inf,7.58790558329312,10.8993390740209
"2014005-024","2","12",12.9154225188241,1.00261508546944,Inf,11.025080452522,14.9552593682753
"2014006-046","2","12",11.1644456493653,0.93217726680563,Inf,9.41215917079376,13.0662269110858
"2014007-001","2","12",11.3431310107713,0.939607337658553,Inf,9.57628186092548,13.2594749437661
"2014008-016","2","12",11.7538043975958,0.963847064266082,Inf,9.94060449508038,13.7188155602127
"2014009-010","2","12",11.6023562332647,0.950283138677246,Inf,9.81458289791611,13.5396243517623
"2014009-012","2","12",14.7906069619789,1.07293379260672,Inf,12.7624427622482,16.9682659448585
"2014009-034","2","12",13.3496848311391,1.01933146873632,Inf,11.4265792556821,15.4222851897451
"2014009-041","2","12",12.2496445055173,0.976431245463857,Inf,10.4106218226031,14.2381619715806
"2014009-046","2","12",13.0680828933024,1.0085231367276,Inf,11.1661612593154,15.1194993104384
"2014010-010","2","12",10.3181891541578,0.896151978927563,Inf,8.63651094235996,12.1493621491046
"W1406-001","2","12",9.14442559200379,0.843641899391622,Inf,7.56566524492174,10.8726807222348
"W1411-017","2","12",10.4720267277025,0.902807787487396,Inf,8.77730337083944,12.3162448677146
"W1425-006","2","12",18.2840183979072,1.19293216989568,Inf,16.020661700487,20.6968698784765
"2014001-005","1","13",15.4748936253614,1.09747279081136,Inf,13.3986338729329,17.7006481609388
"2014005-019","1","13",8.78096530172954,0.826705936180897,Inf,7.235398832584,10.4760265540241
"2014005-024","1","13",11.9114046937217,0.962856165485405,Inf,10.0989886786524,13.8733154919399
"2014006-046","1","13",9.94936150681995,0.879989582955908,Inf,8.29936100903043,11.7488567877584
"2014007-001","1","13",10.3648259983555,0.89817493957152,Inf,8.67918285655341,12.1999639233066
"2014008-016","1","13",11.4398120877562,0.943603125970703,Inf,9.66513133672874,13.3639876219327
"2014009-010","1","13",11.1416570455039,0.931225411675768,Inf,9.39123616870538,13.0415727054514
"2014009-012","1","13",13.4544635360166,1.02332390302403,Inf,11.523532933145,15.5348889220371
"2014009-034","1","13",11.1513600803696,0.931630815746434,Inf,9.40014462619336,13.0520703176947
"2014009-041","1","13",11.5850427936149,0.949573851191321,Inf,9.79865963619343,13.5209207341854
"2014009-046","1","13",11.1282927001837,0.92454966688361,Inf,9.38997667402157,13.0141447720423
"2014010-010","1","13",10.387796604347,0.899169659806626,Inf,8.70020384670941,12.2248841451337
"W1406-001","1","13",9.06037412353233,0.846203244559357,Inf,7.47774583097002,10.7948015968446
"W1411-017","1","13",10.6929188591857,0.912279805362076,Inf,8.97963068842726,12.555701813093
"W1425-006","1","13",15.4062098585182,1.08084483436662,Inf,13.3606156617548,17.5974495582242
"2014001-005","2","13",16.0077949670287,1.11620941691418,Inf,13.8948121022469,18.2702726149594
"2014005-019","2","13",9.18350283633537,0.845442562283687,Inf,7.60121325483657,10.9152872009831
"2014005-024","2","13",12.3794933174689,0.981592791588195,Inf,10.5303541900464,14.3781272280404
"2014006-046","2","13",10.3775530641723,0.898726209058698,Inf,8.69082945402956,12.2137714574641
